10:0|Saturated Fatty Acid
12:0|Saturated Fatty Acid
13:0|Saturated Fatty Acid
14:0|Saturated Fatty Acid
14:1|Monounsaturated Fatty Acid
15:0|Saturated Fatty Acid
15:1|Monounsaturated Fatty Acid
16:0|Saturated Fatty Acid
16:1 c|Monounsaturated Fatty Acid
16:1 t|Monounsaturated Fatty Acid
16:1 undifferentiated|Monounsaturated Fatty Acid
17:0|Saturated Fatty Acid
17:1|Monounsaturated Fatty Acid
18:0|Saturated Fatty Acid
18:1 c|Monounsaturated Fatty Acid
18:1 t|Monounsaturated Fatty Acid
18:1 undifferentiated|Monounsaturated Fatty Acid
18:1-11 t (18:1t n-7)|Monounsaturated Fatty Acid
18:2 CLAs|Polyunsaturated Fatty Acid
18:2 i|Polyunsaturated Fatty Acid
18:2 n-6 c,c|Polyunsaturated Fatty Acid
18:2 t not further defined|Polyunsaturated Fatty Acid
18:2 t,t|Polyunsaturated Fatty Acid
18:2 undifferentiated|Polyunsaturated Fatty Acid
18:3 n-3 c,c,c (ALA)|Polyunsaturated Fatty Acid
18:3 n-6 c,c,c|Polyunsaturated Fatty Acid
18:3 undifferentiated|Polyunsaturated Fatty Acid
18:3i|Polyunsaturated Fatty Acid
18:4|Polyunsaturated Fatty Acid
20:0|Saturated Fatty Acid
20:1|Monounsaturated Fatty Acid
20:2 n-6 c,c|Polyunsaturated Fatty Acid
20:3 n-3|Polyunsaturated Fatty Acid
20:3 n-6|Polyunsaturated Fatty Acid
20:3 undifferentiated|Polyunsaturated Fatty Acid
20:4 n-6|Polyunsaturated Fatty Acid
20:4 undifferentiated|Polyunsaturated Fatty Acid
20:5 n-3 (EPA)|Polyunsaturated Fatty Acid
21:5|Polyunsaturated Fatty Acid
22:0|Saturated Fatty Acid
22:1 c|Monounsaturated Fatty Acid
22:1 t|Monounsaturated Fatty Acid
22:1 undifferentiated|Monounsaturated Fatty Acid
22:4|Polyunsaturated Fatty Acid
22:5 n-3 (DPA)|Polyunsaturated Fatty Acid
22:6 n-3 (DHA)|Polyunsaturated Fatty Acid
24:0|Saturated Fatty Acid
24:1 c|Monounsaturated Fatty Acid
4:0|Saturated Fatty Acid
6:0|Saturated Fatty Acid
8:0|Saturated Fatty Acid
Adjusted Protein|Protein
Alanine|Amino Acid
Alcohol, ethyl|Alcohol
Arginine|Amino Acid
Ash|Mineral
Aspartic acid|Amino Acid
Beta-sitosterol|Sterol
Betaine|Amino Acid
Caffeine|Amino Acid
Calcium, Ca|Mineral
Campesterol|Sterol
Carbohydrate, by difference|Carbohydrate
Carotene, alpha|Carotenoid
Carotene, beta|Carotenoid
Cholesterol|Sterol
Choline, total|Vitamin B
Copper, Cu|Mineral
Cryptoxanthin, beta|Carotenoid
Cystine|Amino Acid
Dihydrophylloquinone|Vitamin K
Energy (kcal)|Energy
Energy (kJ)|Energy
Fatty acids, total monounsaturated|Monounsaturated Fatty Acid
Fatty acids, total polyunsaturated|Polyunsaturated Fatty Acid
Fatty acids, total saturated|Saturated Fatty Acid
Fatty acids, total trans|Trans Fatty Acid
Fatty acids, total trans-monoenoic|Trans Fatty Acid
Fatty acids, total trans-polyenoic|Trans Fatty Acid
Fiber, total dietary|Supplement
Fluoride, F|Mineral
Folate, DFE|Vitamin B
Folate, food|Vitamin B
Folate, total|Vitamin B
Folic acid|Vitamin B
Fructose|Carbohydrate
Galactose|Carbohydrate
Glucose (dextrose)|Carbohydrate
Glutamic acid|Amino Acid
Glycine|Amino Acid
Histidine|Amino Acid
Hydroxyproline|Amino Acid
Iron, Fe|Mineral
Isoleucine|Amino Acid
Lactose|Carbohydrate
Leucine|Amino Acid
Lutein + zeaxanthin|Carotenoid
Lycopene|Carotenoid
Lysine|Amino Acid
Magnesium, Mg|Mineral
Maltose|Carbohydrate
Manganese, Mn|Mineral
Menaquinone-4|Vitamin K
Methionine|Amino Acid
Niacin|Vitamin B
Pantothenic acid|Vitamin B
Phenylalanine|Amino Acid
Phosphorus, P|Mineral
Phytosterols|Sterol
Potassium, K|Mineral
Proline|Amino Acid
Protein|Protein
Retinol|Vitamin A
Riboflavin|Vitamin B
Selenium, Se|Mineral
Serine|Amino Acid
Sodium, Na|Mineral
Starch|Carbohydrate
Stigmasterol|Sterol
Sucrose|Carbohydrate
Sugars, total|Carbohydrate
Theobromine|Amino Acid
Thiamin|Vitamin B
Threonine|Amino Acid
Tocopherol, beta|Vitamin E
Tocopherol, delta|Vitamin E
Tocopherol, gamma|Vitamin E
Tocotrienol, alpha|Vitamin E
Tocotrienol, beta|Vitamin E
Tocotrienol, delta|Vitamin E
Tocotrienol, gamma|Vitamin E
Total lipid (fat)|Fat
Tryptophan|Amino Acid
Tyrosine|Amino Acid
Valine|Amino Acid
Vitamin A, IU|Vitamin A
Vitamin A, RAE|Vitamin A
Vitamin B-12|Vitamin B
Vitamin B-12, added|Vitamin B
Vitamin B-6|Vitamin B
Vitamin C, total ascorbic acid|Vitamin C
Vitamin D|Vitamin D
Vitamin D (D2 + D3)|Vitamin D
Vitamin D2 (ergocalciferol)|Vitamin D
Vitamin D3 (cholecalciferol)|Vitamin D
Vitamin E (alpha-tocopherol)|Vitamin E
Vitamin E, added|Vitamin E
Vitamin K (phylloquinone)|Vitamin K
Water|Water
Zinc, Zn|Mineral
